date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:10	124/124	---MCZ	200	added ('OK')	text/plain	date:Thu,%2005%20Dec%202024%2005:42:25%20GMT	https://liftdetoxcaps.com/robots.txt		(from )
03:12:11	151760/151760	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2006:12:18%20GMT	https://liftdetoxcaps.com/liftpromo/	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/index.html	(from )
03:12:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2005%20Dec%202024%2006:12:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/liftdetox/www.googletagmanager.com/gtm.05445.delayed	(from https://liftdetoxcaps.com/liftpromo/)
03:12:11	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%22157d-66cde357-54e4638960a24d11;br%22	https://liftdetoxcaps.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:11	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%22141a-66cde357-81f1bc6994e806d3;br%22	https://liftdetoxcaps.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:12	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%221c2c-66cde357-7b4c4a6299cbf07;br%22	https://liftdetoxcaps.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:12	20021/20021	---MCZ	200	added ('OK')	text/css	etag:W/%224e35-673fd3fe-6d0c413104592bdc;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min444a.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:12	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%22ec9f-673fd3fe-508318410e7f8c30;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/frontend.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:12	177385/177385	---M--	200	added ('OK')	image/png	etag:%222b4e9-67114ddf-4a44ef4d56ad02a5;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Background-Lift-Novo-Verde-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Background-Lift-Novo-Verde-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:12	87871/87871	---M--	200	added ('OK')	image/jpeg	etag:%221573f-67114dfc-b59fc68c094fb834;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/BG-Mobile-Lift-Verde-1-scaled.jpg	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/BG-Mobile-Lift-Verde-1-scaled.jpg	(from https://liftdetoxcaps.com/liftpromo/)
